TableName,ColumnName,ColumnType,DataType
DeviceTvmSoftwareVulnerabilities,CveTags,dynamic,System.Object
DeviceTvmSoftwareVulnerabilities,CveMitigationStatus,string,System.String
DeviceTvmSoftwareVulnerabilities,AadDeviceId,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,CveId,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,CvssScore,real,System.Double
DeviceTvmSoftwareVulnerabilitiesKB,CvssVector,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,CveSupportability,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,IsExploitAvailable,bool,System.SByte
DeviceTvmSoftwareVulnerabilitiesKB,VulnerabilitySeverityLevel,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,LastModifiedTime,datetime,System.DateTime
DeviceTvmSoftwareVulnerabilitiesKB,PublishedDate,datetime,System.DateTime
DeviceTvmSoftwareVulnerabilitiesKB,VulnerabilityDescription,string,System.String
DeviceTvmSoftwareVulnerabilitiesKB,AffectedSoftware,dynamic,System.Object
CloudAuditEvents,Timestamp,datetime,System.DateTime
CloudAuditEvents,AuditSource,string,System.String
CloudAuditEvents,DataSource,string,System.String
CloudAuditEvents,ActionType,string,System.String
CloudAuditEvents,OperationName,string,System.String
CloudAuditEvents,AzureResourceId,string,System.String
CloudAuditEvents,AwsResourceName,string,System.String
CloudAuditEvents,GcpFullResourceName,string,System.String
CloudAuditEvents,Account,string,System.String
CloudAuditEvents,IPAddress,string,System.String
CloudAuditEvents,IsAnonymousProxy,bool,System.SByte
CloudAuditEvents,CountryCode,string,System.String
CloudAuditEvents,City,string,System.String
CloudAuditEvents,ISP,string,System.String
CloudAuditEvents,UserAgent,string,System.String
CloudAuditEvents,RawEventData,dynamic,System.Object
CloudAuditEvents,AdditionalFields,dynamic,System.Object
CloudAuditEvents,ReportId,string,System.String
CloudDnsEvents,Timestamp,datetime,System.DateTime
CloudDnsEvents,ReportId,string,System.String
CloudDnsEvents,ActionType,string,System.String
CloudDnsEvents,AdditionalFields,dynamic,System.Object
CloudDnsEvents,AzureResourceId,string,System.String
CloudDnsEvents,AwsResourceName,string,System.String
CloudDnsEvents,GcpFullResourceName,string,System.String
CloudDnsEvents,KubernetesResource,string,System.String
CloudDnsEvents,KubernetesNamespace,string,System.String
CloudDnsEvents,KubernetesPodName,string,System.String
CloudDnsEvents,ContainerName,string,System.String
CloudDnsEvents,ContainerId,string,System.String
CloudDnsEvents,ImageName,string,System.String
CloudDnsEvents,ProcessName,string,System.String
CloudDnsEvents,ProcessId,string,System.String
CloudDnsEvents,EventType,string,System.String
CloudDnsEvents,EventSubType,string,System.String
CloudDnsEvents,DnsQuery,string,System.String
CloudDnsEvents,DnsQueryTypeName,string,System.String
CloudDnsEvents,DnsResponseCodeName,string,System.String
CloudDnsEvents,DnsNetworkDuration,long,System.Int64
CloudDnsEvents,TransactionIdHex,string,System.String
CloudStorageAggregatedEvents,DataAggregationStartTime,datetime,System.DateTime
CloudStorageAggregatedEvents,DataAggregationEndTime,datetime,System.DateTime
CloudStorageAggregatedEvents,DataSource,string,System.String
CloudStorageAggregatedEvents,SubscriptionId,string,System.String
